"id","weight40","sex","Cluster","Cluster_labels"
111000,0.343964278697968,1,4,"Late & Diverse Transitions"
2931000,1.76745474338531,0,2,"Early Family Formation"
3491000,0.726560711860657,1,4,"Late & Diverse Transitions"
3902000,0.940405488014221,0,5,"Delayed Union Formation"
4814000,1.37315213680267,0,1,"Persistent Single"
8948000,0.709793269634247,1,4,"Late & Diverse Transitions"
9917000,0.417318105697632,0,2,"Early Family Formation"
10208000,0.525204658508301,0,4,"Late & Diverse Transitions"
10665000,3.52226448059082,1,2,"Early Family Formation"
10789000,1.01106250286102,1,2,"Early Family Formation"
10809000,1.18641245365143,1,5,"Delayed Union Formation"
11300000,1.68989682197571,1,1,"Persistent Single"
12490000,1.47570145130157,1,1,"Persistent Single"
13345000,0.845349431037903,1,1,"Persistent Single"
13588000,2.54356002807617,0,4,"Late & Diverse Transitions"
14722000,1.21751153469086,0,1,"Persistent Single"
14898000,0.574547708034515,1,1,"Persistent Single"
15310000,2.17986249923706,0,1,"Persistent Single"
15595000,0.265306502580643,0,1,"Persistent Single"
15975000,2.66874051094055,1,2,"Early Family Formation"
16512000,1.15702080726624,0,1,"Persistent Single"
16671000,0.495345592498779,1,3,"Stable Married, One Child"
16829000,1.00109326839447,1,4,"Late & Diverse Transitions"
17154000,0.42508789896965,0,2,"Early Family Formation"
17663000,0.607325375080109,1,5,"Delayed Union Formation"
18011000,1.05580186843872,0,5,"Delayed Union Formation"
19673000,0.898854792118073,1,3,"Stable Married, One Child"
20970000,0.719544291496277,0,3,"Stable Married, One Child"
22234000,0.69062876701355,0,5,"Delayed Union Formation"
22984000,2.24630045890808,0,5,"Delayed Union Formation"
24908000,0.799940586090088,1,1,"Persistent Single"
25498000,3.42489266395569,0,1,"Persistent Single"
26760000,0.655636727809906,0,3,"Stable Married, One Child"
27564000,1.86041724681854,1,3,"Stable Married, One Child"
30069000,1.50913286209106,0,2,"Early Family Formation"
30233000,1.07143080234528,1,1,"Persistent Single"
34182000,1.24187028408051,0,2,"Early Family Formation"
34283000,2.30995345115662,0,5,"Delayed Union Formation"
34410000,1.06341850757599,0,1,"Persistent Single"
35429000,1.0884131193161,0,2,"Early Family Formation"
37380000,0.227887377142906,0,2,"Early Family Formation"
38207000,1.62715590000153,0,2,"Early Family Formation"
38533000,0.531326055526733,0,3,"Stable Married, One Child"
38835000,3.30726432800293,0,2,"Early Family Formation"
40030000,0.410898655653,1,4,"Late & Diverse Transitions"
42446000,0.990875601768494,0,2,"Early Family Formation"
43116000,1.63227117061615,0,5,"Delayed Union Formation"
44386000,1.34449982643127,1,5,"Delayed Union Formation"
44495000,3.0251989364624,0,2,"Early Family Formation"
45091000,0.513090193271637,1,4,"Late & Diverse Transitions"
45705000,1.41643381118774,1,1,"Persistent Single"
46009000,0.390673339366913,1,4,"Late & Diverse Transitions"
46521000,0.252585679292679,1,4,"Late & Diverse Transitions"
49164000,0.916199803352356,0,5,"Delayed Union Formation"
51971000,1.40968787670135,0,1,"Persistent Single"
52154000,1.87363028526306,0,4,"Late & Diverse Transitions"
53356000,0.92373126745224,1,1,"Persistent Single"
54294000,1.24821615219116,1,2,"Early Family Formation"
55835000,1.01645219326019,0,3,"Stable Married, One Child"
56242000,1.23722553253174,0,2,"Early Family Formation"
56294000,0.85456657409668,0,5,"Delayed Union Formation"
61002000,0.92373126745224,1,1,"Persistent Single"
61085000,1.25387692451477,0,4,"Late & Diverse Transitions"
61227000,0.552318096160889,1,1,"Persistent Single"
61883000,3.40465545654297,0,2,"Early Family Formation"
61933000,1.07779765129089,0,5,"Delayed Union Formation"
63755000,1.04706001281738,0,2,"Early Family Formation"
64188000,1.91475760936737,0,1,"Persistent Single"
65300000,0.814108431339264,1,2,"Early Family Formation"
65317000,0.57160222530365,1,5,"Delayed Union Formation"
65342000,1.84152293205261,1,1,"Persistent Single"
65982000,2.26980352401733,0,2,"Early Family Formation"
66029000,2.3080313205719,1,2,"Early Family Formation"
66953000,2.10480856895447,0,5,"Delayed Union Formation"
66989000,0.238517791032791,1,2,"Early Family Formation"
67461000,0.65743488073349,1,2,"Early Family Formation"
68734000,4.85061168670654,1,1,"Persistent Single"
69675000,2.37409114837646,0,2,"Early Family Formation"
71223000,1.29448139667511,1,2,"Early Family Formation"
71780000,1.00551617145538,1,1,"Persistent Single"
72463000,0.866048872470856,0,5,"Delayed Union Formation"
74040000,0.718590140342712,1,4,"Late & Diverse Transitions"
74788000,0.561387062072754,0,4,"Late & Diverse Transitions"
76321000,0.765380024909973,1,1,"Persistent Single"
77366000,1.47928643226624,1,3,"Stable Married, One Child"
78454000,1.9030624628067,0,1,"Persistent Single"
78571000,0.801186859607697,1,3,"Stable Married, One Child"
78626000,1.56379151344299,1,1,"Persistent Single"
78724000,0.484808623790741,1,5,"Delayed Union Formation"
79758000,0.537887871265411,1,3,"Stable Married, One Child"
80740000,1.25831425189972,0,5,"Delayed Union Formation"
81093000,1.94278299808502,1,5,"Delayed Union Formation"
84146000,4.07891416549683,1,3,"Stable Married, One Child"
84512000,1.48978698253632,1,1,"Persistent Single"
86105000,0.525219202041626,0,2,"Early Family Formation"
86782000,2.63164019584656,0,2,"Early Family Formation"
87102000,1.6952303647995,0,1,"Persistent Single"
87939000,3.0857629776001,0,5,"Delayed Union Formation"
93194000,1.75117421150208,1,5,"Delayed Union Formation"
93440000,1.57241725921631,0,2,"Early Family Formation"
93716000,2.25493836402893,0,4,"Late & Diverse Transitions"
93888000,0.789678871631622,1,4,"Late & Diverse Transitions"
94740000,2.29929566383362,0,2,"Early Family Formation"
95759000,0.85813295841217,1,4,"Late & Diverse Transitions"
96098000,2.8154022693634,0,2,"Early Family Formation"
100906000,2.60687947273254,0,2,"Early Family Formation"
103783000,1.73317360877991,0,2,"Early Family Formation"
104387000,1.22041797637939,1,3,"Stable Married, One Child"
104834000,3.32645201683044,1,5,"Delayed Union Formation"
105390000,1.05194222927094,1,5,"Delayed Union Formation"
107394000,1.19983506202698,1,4,"Late & Diverse Transitions"
107873000,0.978637039661407,0,5,"Delayed Union Formation"
109954000,1.3159738779068,1,1,"Persistent Single"
110610000,0.877045154571533,1,1,"Persistent Single"
111849000,0.41058760881424,1,4,"Late & Diverse Transitions"
113432000,0.591290354728699,0,2,"Early Family Formation"
114258000,0.913493454456329,1,1,"Persistent Single"
116702000,2.02584385871887,1,4,"Late & Diverse Transitions"
117064000,0.955492198467255,0,5,"Delayed Union Formation"
118356000,0.743095993995667,1,5,"Delayed Union Formation"
118533000,1.72256994247437,0,2,"Early Family Formation"
119542000,1.65149581432343,0,1,"Persistent Single"
120284000,1.75041842460632,0,1,"Persistent Single"
120372000,0.850221753120422,0,1,"Persistent Single"
120659000,0.38249534368515,1,4,"Late & Diverse Transitions"
122017000,0.653077185153961,1,4,"Late & Diverse Transitions"
122141000,1.19497036933899,1,3,"Stable Married, One Child"
122556000,1.78960311412811,0,1,"Persistent Single"
123583000,1.40289127826691,1,3,"Stable Married, One Child"
123827000,1.06822144985199,0,1,"Persistent Single"
124084000,0.425215393304825,1,4,"Late & Diverse Transitions"
124342000,0.599352240562439,0,4,"Late & Diverse Transitions"
124996000,1.41075766086578,0,2,"Early Family Formation"
125240000,0.659446597099304,1,5,"Delayed Union Formation"
127557000,1.59306263923645,1,5,"Delayed Union Formation"
129996000,0.761928260326385,1,2,"Early Family Formation"
130081000,2.12478685379028,1,2,"Early Family Formation"
130222000,3.49733781814575,0,2,"Early Family Formation"
131407000,1.32861912250519,0,2,"Early Family Formation"
131548000,1.34860932826996,0,5,"Delayed Union Formation"
133145000,2.97503089904785,1,2,"Early Family Formation"
133474000,0.654425323009491,0,5,"Delayed Union Formation"
133500000,0.941990852355957,1,4,"Late & Diverse Transitions"
133955000,2.0333297252655,1,2,"Early Family Formation"
134796000,0.909159600734711,0,5,"Delayed Union Formation"
135811000,1.25622820854187,1,1,"Persistent Single"
136160000,2.18776369094849,0,4,"Late & Diverse Transitions"
136558000,1.20604431629181,1,1,"Persistent Single"
137031000,2.20039439201355,1,5,"Delayed Union Formation"
137685000,1.34296178817749,1,4,"Late & Diverse Transitions"
139457000,2.03726959228516,1,5,"Delayed Union Formation"
142841000,0.796635866165161,1,1,"Persistent Single"
144292000,3.18884110450745,1,1,"Persistent Single"
145772000,9.1004753112793,1,5,"Delayed Union Formation"
146330000,2.09726476669312,0,1,"Persistent Single"
