"family1","family13","family25","family37","family49","family61","family73","family85","family97","family109","family121","family133","family145","family157","family169","family181","family193","family205","family217","family229","family241","family253"
"COH","MARc1","LATc","LATc","LATc","LATc","Sc","Sc","Sc","Sc","Sc","LATc","LATc","Sc","Sc","Sc","Sc","LATc","LATc","Sc","LATc","LATc"
"S","S","S","S","S","S","S","LAT","LAT","LAT","COH","S","S","S","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","S","S","S","LAT","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","Sc","Sc","Sc","Sc"
"LAT","S","LAT","LAT","S","S","LAT","LAT","LAT","LAT","S","S","S","LAT","COH","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","LAT","LAT","LAT","LAT","LAT","MAR","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"COH","COH","COH","COH","COH","COH","COH","S","S","S","COH","COHc","COHc","COHc","COHc","Sc","Sc","Sc","LATc","Sc","Sc","Sc"
"S","S","S","S","S","S","LAT","LAT","COH","COH","COH","COH","COHc","COHc","COHc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","LAT","LAT","S","S","S","LAT","S","S","S","S","LAT","S","S","LAT","LAT","LAT","MAR","MAR","MAR","MAR","MAR"
"S","S","S","S","S","S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","LAT","S","S","S","S","S"
"COH","COH","COH","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","LAT","S","S","LAT","LAT","LAT","LAT","S","S","S","LAT"
"LAT","COH","COH","COHc","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","S","LAT","LAT","COH","COH","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","COH","COH","COH","COH","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","S","LAT","LAT","LAT","LAT","LAT","COH","COH","COH","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"LAT","S","LAT","LAT","LAT","COH","COH","MAR","MAR","MAR","MAR","MARc1","MARc1","MARc1","MARc1","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","S","S","S","LAT","LAT","LAT","COH","COH","COH","MAR","MAR","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","S","LAT","COH","COH","COH","MAR","MAR","MAR","MAR","MAR","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","LAT","LAT","S","S","S","S","S","S","LAT","COH","COH","COH","COH","COH","COH","COH","S","S","COH","COHc"
"S","S","S","S","S","S","LAT","LAT","COHc","COHc","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+","MARc2+"
"S","S","S","S","LAT","LAT","COH","COH","COH","COH","COH","COHc","COHc","COHc","MARc1","MARc1","MARc1","COHc","COHc","Sc","Sc","Sc"
