ID,cohort,s1,pss1,start1,s2,pss2,start2,s3,pss3,start3,s4,pss4,start4,s5,pss5,start5,s6,pss6,start6,s7,pss7,start7,s8,pss8,start8
Fall 101,Fall,M,2.25,2020-09-28,M,1.75,2020-10-04,M,1.75,2020-10-05,M,2.0,2020-10-12,M,1.75,2020-10-19,L,1.25,2020-10-27,L,1.25,2020-11-02,M,2.0,2020-11-16
Fall 104,Fall,L,1.0,2020-09-28,L,0.5,2020-10-05,L,0.25,2020-10-13,L,0.5,2020-10-19,L,0.5,2020-10-26,L,0.25,2020-11-02,M,1.5,2020-11-16,L,0.5,2020-11-23
Fall 24,Fall,M,2.0,2020-06-15,M,1.5,2020-09-06,M,1.75,2020-09-14,M,1.5,2020-09-21,L,1.0,2020-09-28,L,1.0,2020-10-05,L,1.0,2020-10-12,L,1.25,2020-10-19
Fall 26,Fall,M,2.25,2020-09-07,H,2.5,2020-09-14,H,2.5,2020-09-21,M,2.25,2020-09-29,M,2.0,2020-10-06,M,2.25,2020-10-12,H,2.5,2020-10-14,H,2.5,2020-10-19
Fall 27,Fall,H,3.25,2020-09-07,H,2.75,2020-09-15,M,2.25,2020-09-21,M,2.25,2020-09-28,M,2.25,2020-10-05,M,1.75,2020-10-12,M,1.75,2020-10-20,M,1.5,2020-10-27
Fall 28,Fall,L,1.0,2020-09-07,L,0.75,2020-09-14,L,1.0,2020-09-21,L,0.75,2020-09-28,L,1.25,2020-10-07,L,1.25,2020-10-12,M,1.5,2020-10-19,M,1.75,2020-11-02
Fall 29,Fall,M,1.5,2020-09-07,M,1.5,2020-09-14,M,2.25,2020-09-21,M,1.5,2020-09-28,M,2.25,2020-10-05,M,1.5,2020-10-12,L,1.25,2020-10-19,L,1.0,2020-10-26
Fall 30,Fall,H,3.0,2020-09-07,M,2.25,2020-09-17,M,1.5,2020-09-22,M,2.0,2020-09-28,M,2.0,2020-10-05,M,1.75,2020-10-12,M,2.0,2020-10-21,M,2.0,2020-10-28
Fall 31,Fall,M,1.75,2020-09-07,M,2.0,2020-09-14,M,1.75,2020-09-21,M,1.75,2020-09-25,M,1.5,2020-09-28,L,1.25,2020-10-12,M,1.5,2020-10-19,M,1.5,2020-10-27
Fall 32,Fall,L,0.5,2020-09-07,L,1.25,2020-09-14,L,0.25,2020-09-21,L,0.0,2020-09-28,L,1.0,2020-10-05,L,0.75,2020-10-12,L,0.25,2020-10-19,L,0.25,2020-10-26
Fall 33,Fall,L,1.0,2020-09-07,M,2.0,2020-09-15,M,1.75,2020-09-21,L,1.25,2020-09-28,M,2.0,2020-10-07,H,3.0,2020-10-12,M,1.5,2020-10-19,L,1.25,2020-10-26
Fall 34,Fall,H,2.5,2020-09-07,M,2.25,2020-09-14,H,3.0,2020-09-21,H,3.0,2020-09-28,H,2.75,2020-10-05,H,2.5,2020-10-12,M,2.0,2020-10-26,H,2.5,2020-11-02
