participant_id,cohort,pss_1,date_1,pss_2,date_2,pss_3,date_3,pss_4,date_4,pss_5,date_5,pss_6,date_6,pss_7,date_7,pss_8,date_8
Fall 100,Fall,1.75,2020-09-29,1.25,2020-10-10,1.25,2020-10-16,1.25,2020-10-24,1.0,2020-10-29,1.0,2020-11-07,2.5,2020-11-14,1.0,2020-11-22
Fall 101,Fall,2.25,2020-09-28,1.75,2020-10-04,1.75,2020-10-05,2.0,2020-10-12,1.75,2020-10-19,1.25,2020-10-27,1.25,2020-11-02,2.0,2020-11-16
Fall 102,Fall,1.5,2020-09-28,1.5,2020-10-04,1.5,2020-10-05,1.5,2020-10-12,2.25,2020-10-19,1.5,2020-10-26,1.25,2020-11-02,1.0,2020-11-16
Fall 103,Fall,1.25,2020-09-28,1.0,2020-10-05,1.5,2020-10-12,0.75,2020-10-19,2.5,2020-10-26,1.25,2020-11-02,2.0,2020-11-16,1.5,2020-11-23
Fall 104,Fall,1.0,2020-09-28,0.5,2020-10-05,0.25,2020-10-13,0.5,2020-10-19,0.5,2020-10-26,0.25,2020-11-02,1.5,2020-11-16,0.5,2020-11-23
Fall 24,Fall,2.0,2020-06-15,1.5,2020-09-06,1.75,2020-09-14,1.5,2020-09-21,1.0,2020-09-28,1.0,2020-10-05,1.0,2020-10-12,1.25,2020-10-19
Fall 26,Fall,2.25,2020-09-07,2.5,2020-09-14,2.5,2020-09-21,2.25,2020-09-29,2.0,2020-10-06,2.25,2020-10-12,2.5,2020-10-14,2.5,2020-10-19
Fall 27,Fall,3.25,2020-09-07,2.75,2020-09-15,2.25,2020-09-21,2.25,2020-09-28,2.25,2020-10-05,1.75,2020-10-12,1.75,2020-10-20,1.5,2020-10-27
Fall 28,Fall,1.0,2020-09-07,0.75,2020-09-14,1.0,2020-09-21,0.75,2020-09-28,1.25,2020-10-07,1.25,2020-10-12,1.5,2020-10-19,1.75,2020-11-02
Fall 29,Fall,1.5,2020-09-07,1.5,2020-09-14,2.25,2020-09-21,1.5,2020-09-28,2.25,2020-10-05,1.5,2020-10-12,1.25,2020-10-19,1.0,2020-10-26
Fall 30,Fall,3.0,2020-09-07,2.25,2020-09-17,1.5,2020-09-22,2.0,2020-09-28,2.0,2020-10-05,1.75,2020-10-12,2.0,2020-10-21,2.0,2020-10-28
Fall 31,Fall,1.75,2020-09-07,2.0,2020-09-14,1.75,2020-09-21,1.75,2020-09-25,1.5,2020-09-28,1.25,2020-10-12,1.5,2020-10-19,1.5,2020-10-27
Fall 32,Fall,0.5,2020-09-07,1.25,2020-09-14,0.25,2020-09-21,0.0,2020-09-28,1.0,2020-10-05,0.75,2020-10-12,0.25,2020-10-19,0.25,2020-10-26
Fall 33,Fall,1.0,2020-09-07,2.0,2020-09-15,1.75,2020-09-21,1.25,2020-09-28,2.0,2020-10-07,3.0,2020-10-12,1.5,2020-10-19,1.25,2020-10-26
Fall 34,Fall,2.5,2020-09-07,2.25,2020-09-14,3.0,2020-09-21,3.0,2020-09-28,2.75,2020-10-05,2.5,2020-10-12,2.0,2020-10-26,2.5,2020-11-02
Fall 35,Fall,1.25,2020-09-07,1.0,2020-09-14,0.75,2020-09-21,2.25,2020-09-28,1.25,2020-10-06,1.5,2020-10-12,1.25,2020-10-19,0.25,2020-10-26
Fall 36,Fall,0.5,2020-09-07,1.0,2020-09-14,0.5,2020-09-21,0.75,2020-09-28,0.75,2020-10-05,0.75,2020-10-12,0.75,2020-10-19,0.75,2020-10-26
Fall 37,Fall,2.75,2020-09-07,2.75,2020-09-14,2.5,2020-09-22,2.5,2020-09-29,2.75,2020-10-07,2.75,2020-10-13,2.5,2020-10-20,2.75,2020-10-31
Fall 39,Fall,1.25,2020-09-07,1.25,2020-09-14,1.0,2020-09-21,0.75,2020-09-28,1.25,2020-10-05,1.75,2020-10-12,1.5,2020-10-19,1.0,2020-10-27
Fall 40,Fall,0.0,2020-09-14,0.5,2020-09-21,0.0,2020-09-28,0.0,2020-10-05,0.0,2020-10-12,0.0,2020-10-19,0.0,2020-10-26,0.0,2020-11-02
Fall 41,Fall,2.25,2020-09-07,1.75,2020-09-14,2.25,2020-09-21,2.0,2020-09-28,1.5,2020-10-05,2.0,2020-10-12,2.0,2020-10-19,2.0,2020-10-26
Fall 42,Fall,1.0,2020-09-07,1.0,2020-09-15,0.75,2020-09-21,0.75,2020-09-28,0.5,2020-10-06,1.0,2020-10-12,1.0,2020-10-27,2.0,2020-11-16
Fall 43,Fall,1.75,2020-09-07,1.25,2020-09-14,0.75,2020-09-21,1.5,2020-09-28,1.0,2020-10-05,0.75,2020-10-12,0.5,2020-10-19,0.5,2020-10-29
Fall 45,Fall,2.5,2020-09-07,3.5,2020-09-14,2.75,2020-09-20,2.75,2020-09-27,3.0,2020-09-30,3.0,2020-10-05,3.0,2020-10-11,2.75,2020-10-18
Fall 48,Fall,1.25,2020-09-07,0.75,2020-09-14,0.5,2020-09-21,0.5,2020-09-28,0.5,2020-10-05,0.75,2020-10-12,0.75,2020-10-19,1.25,2020-10-26
Fall 49,Fall,1.5,2020-09-07,1.25,2020-09-14,1.75,2020-09-21,2.0,2020-09-28,1.25,2020-10-05,2.0,2020-10-12,1.5,2020-10-19,1.75,2020-10-27
Fall 51,Fall,1.75,2020-09-07,2.75,2020-09-14,2.25,2020-09-21,2.75,2020-09-28,2.75,2020-09-30,2.0,2020-10-05,2.5,2020-10-12,2.0,2020-10-19
Fall 53,Fall,1.75,2020-09-07,1.0,2020-09-14,0.5,2020-09-21,1.0,2020-09-28,0.75,2020-10-05,0.75,2020-10-12,1.0,2020-10-19,1.0,2020-10-26
Fall 54,Fall,2.0,2020-09-07,1.0,2020-09-14,0.75,2020-09-21,1.75,2020-09-28,1.0,2020-10-05,1.75,2020-10-13,1.5,2020-10-19,0.75,2020-10-27
Fall 56,Fall,1.75,2020-09-07,2.0,2020-09-14,1.25,2020-09-21,2.25,2020-09-28,2.5,2020-09-30,2.25,2020-10-05,2.5,2020-10-12,2.75,2020-10-21
Fall 57,Fall,2.0,2020-09-07,2.0,2020-09-14,1.75,2020-09-21,2.75,2020-10-01,2.0,2020-10-06,1.5,2020-10-12,1.75,2020-10-21,1.5,2020-10-26
Fall 58,Fall,0.5,2020-09-07,1.75,2020-09-14,1.5,2020-09-29,1.75,2020-10-07,2.25,2020-10-12,1.75,2020-10-19,2.0,2020-10-28,1.75,2020-11-03
Fall 59,Fall,0.5,2020-09-07,1.0,2020-09-14,0.75,2020-09-21,1.25,2020-09-28,1.0,2020-10-05,1.0,2020-10-12,2.0,2020-10-19,1.0,2020-10-26
Fall 60,Fall,1.5,2020-09-07,2.0,2020-09-14,2.0,2020-09-21,1.75,2020-09-28,2.0,2020-10-08,1.75,2020-10-13,1.75,2020-10-21,1.25,2020-10-27
