Start Date,ID,"Yesterday, how much time did you spend: - Speaking in class","Yesterday, how much time did you spend: - Listening in class","Yesterday, how much time did you spend: - In conversation on the phone","Yesterday, how much time did you spend: - In face-to-face conversation outside of class","Yesterday, how much time did you spend: - Instant-messaging on the Internet","Yesterday, how much time did you spend: - Reading school-related material NOT on the Internet","Yesterday, how much time did you spend: - Reading school-related material on the Internet","Yesterday, how much time did you spend: - Listening to music","Yesterday, how much time did you spend: - Watching/listening to TV"
6/13/2020,Summer 13,0,2,0,4,4,0,1,3,4
6/13/2020,Fall 24,2,2,2,0,1,0,2,2,4
6/13/2020,Fall 40,0,0,0,0,4,0,4,2,2
6/13/2020,Q8,0,0,1,4,1,0,3,4,4
6/14/2020,Spring 129,1,1,4,4,4,0,4,4,4
6/14/2020,Summer 1,0,0,4,0,4,4,4,0,4
6/14/2020,Fall 24,0,0,0,0,1,0,2,2,4
6/14/2020,Fall 40,0,0,0,0,2,0,2,2,0
6/14/2020,Summer 13,0,0,0,4,3,0,0,3,4
6/14/2020,Summer 18,0,4,0,2,0,0,3,0,0
6/14/2020,Q8,0,0,1,4,1,0,4,3,0
6/15/2020,Q18,2,3,1,0,2,0,3,3,1
6/15/2020,Summer 1,0,0,4,4,4,4,2,0,4
6/15/2020,Summer 9,0,4,0,0,0,2,4,4,4
6/15/2020,Summer 3,0,4,0,0,0,0,1,2,4
6/15/2020,Summer 19,1,3,2,4,4,0,3,3,4
6/15/2020,Summer 8,0,0,0,4,4,0,4,4,4
6/15/2020,Summer 17,0,0,2,4,4,0,2,4,1
6/14/2020,Summer 16,0,4,0,4,2,0,4,3,4
6/15/2020,Fall 24,0,0,0,0,1,0,0,0,4
6/15/2020,Summer 18,0,4,0,1,0,0,3,0,2
6/15/2020,Summer 5,1,4,0,4,3,0,1,0,4
6/15/2020,Summer 179,0,3,0,4,4,4,1,4,4
6/15/2020,Fall 40,1,4,0,0,2,0,2,2,0
6/15/2020,Summer 2,0,3,0,2,1,0,4,4,1
6/15/2020,Summer 6,0,4,2,3,4,1,4,1,4
6/13/2020,Q8,2,3,0,1,0,0,4,3,4
6/16/2020,Summer 1,0,4,1,4,4,4,2,0,2
6/14/2020,Summer 12,0,0,2,4,2,1,4,4,2
6/16/2020,Q18,0,3,0,0,1,0,2,0,1
6/16/2020,Fall 24,2,2,2,0,1,0,3,2,4
6/16/2020,Summer 16,1,4,4,1,1,0,2,4,4
6/16/2020,Summer 19,0,0,2,4,4,0,4,2,4
6/16/2020,Summer 13,0,4,0,4,4,0,1,2,2
6/16/2020,Summer 5,0,4,1,4,3,0,2,0,1
6/16/2020,Summer 15,0,0,2,4,4,3,3,3,3
6/16/2020,Summer 179,0,3,0,4,4,4,2,4,4
6/16/2020,Fall 40,1,3,0,0,1,0,2,1,0
6/16/2020,Summer 6,0,4,2,4,4,1,2,1,4
6/16/2020,Summer 17,0,0,4,4,4,0,2,4,4
6/16/2020,Summer 4,0,4,0,4,1,2,4,0,3
6/16/2020,Spring 129,1,3,4,4,4,1,4,4,3
6/16/2020,Summer 177,0,0,0,0,0,0,1,4,1
6/16/2020,Summer 3,0,0,0,4,3,0,0,3,2
6/16/2020,Summer 18,0,0,0,2,1,0,0,0,4
6/16/2020,Summer 9,0,0,0,0,0,4,4,4,4
6/16/2020,Summer 20,0,4,2,4,4,0,4,4,4
6/17/2020,Summer 2,0,0,1,0,0,0,2,4,1
6/17/2020,Summer 19,0,0,2,4,4,0,4,2,4
6/17/2020,Summer 8,0,4,0,4,4,3,4,4,1
6/17/2020,Summer 4,0,0,0,2,0,1,4,3,0
6/17/2020,Summer 1,1,4,3,4,4,4,4,0,4
6/17/2020,Summer 13,0,3,0,4,3,0,2,2,3
6/17/2020,Summer 18,0,3,2,1,1,0,4,0,3
6/17/2020,Summer 19,0,0,0,4,4,0,1,3,4
6/17/2020,Summer 15,0,0,2,4,4,2,4,3,4
6/17/2020,Summer 8,0,1,0,4,1,1,4,4,2
6/17/2020,Summer 16,0,4,4,4,2,0,4,4,4
6/17/2020,Summer 177,0,0,0,0,1,0,3,4,4
6/17/2020,Summer 9,0,0,0,0,0,2,2,4,4
6/17/2020,Summer 3,0,0,0,4,1,0,0,4,1
6/17/2020,Summer 20,0,4,4,4,4,0,3,4,4
6/17/2020,Summer 5,0,4,1,3,1,1,3,4,2
6/17/2020,Summer 17,2,3,2,4,4,0,2,2,4
6/17/2020,Spring 129,0,2,4,4,4,1,4,4,4
6/18/2020,Summer 12,1,4,0,4,3,0,4,4,1
6/18/2020,Summer 1,1,4,2,4,4,4,4,0,4
6/18/2020,Summer 13,0,1,0,4,2,0,1,1,0
6/18/2020,Summer 8,0,0,1,0,4,0,4,4,4
6/18/2020,Summer 12,0,0,0,4,2,0,4,4,0
6/18/2020,Summer 177,0,1,0,2,2,0,3,4,0
6/18/2020,Summer 20,0,0,0,4,3,0,1,2,4
6/18/2020,Spring 129,0,4,4,4,4,3,4,4,4
6/18/2020,Summer 16,0,3,3,4,1,0,4,3,4
6/18/2020,Summer 9,0,0,0,0,0,0,0,4,2
6/18/2020,Summer 4,0,0,0,3,1,0,4,4,2
6/18/2020,Summer 3,0,0,1,4,2,0,0,4,4
6/18/2020,Summer 5,0,4,2,2,3,2,2,4,4
6/18/2020,Summer 17,0,0,3,4,4,0,3,2,0
6/19/2020,Summer 18,0,2,0,2,4,0,4,0,2
6/19/2020,Summer 19,1,4,4,4,4,0,2,1,4
6/19/2020,Summer 1,1,4,4,4,4,1,1,0,4
6/19/2020,Summer 179,0,3,1,4,0,2,0,4,4
6/19/2020,Summer 9,0,0,4,4,1,0,0,4,4
6/19/2020,Summer 3,0,0,0,4,2,0,4,2,4
6/19/2020,Summer 19,0,0,0,4,4,0,2,3,4
6/19/2020,Summer 15,0,2,2,4,4,0,3,4,3
6/19/2020,Summer 6,0,0,2,4,4,0,0,4,0
6/19/2020,Summer 18,0,0,0,3,2,0,2,0,3
6/19/2020,Summer 16,0,0,4,2,2,0,4,4,4
6/19/2020,Summer 20,0,4,0,4,4,0,2,4,4
6/19/2020,Summer 17,0,3,1,4,4,0,1,1,3
6/20/2020,Summer 8,0,0,1,4,4,1,4,4,4
6/20/2020,Summer 16,0,0,4,4,2,0,2,2,4
6/20/2020,Summer 19,0,0,1,4,4,0,1,3,2
6/20/2020,Summer 15,0,0,3,4,4,0,4,3,3
6/20/2020,Summer 13,0,3,0,4,3,0,1,3,4
6/20/2020,Summer 1,0,1,4,4,4,1,4,0,4
6/20/2020,Summer 176,0,0,1,4,2,0,0,2,0
6/20/2020,Summer 176,0,0,2,4,2,0,0,2,0
6/20/2020,Summer 5,0,4,1,4,2,3,4,4,0
6/20/2020,Summer 9,0,4,2,0,0,0,4,4,4
6/20/2020,Summer 4,0,0,0,4,1,0,0,0,4
6/20/2020,Summer 17,0,0,0,4,3,0,0,2,4
6/20/2020,Summer 12,0,4,0,0,1,4,4,4,4
6/20/2020,Summer 18,0,4,0,2,2,0,0,0,1
6/20/2020,Summer 2,0,0,2,0,1,0,2,4,2
6/20/2020,Summer 6,0,1,1,4,4,1,3,0,2
6/21/2020,Summer 20,0,0,0,4,4,0,4,1,4
6/21/2020,Summer 8,0,0,0,4,4,0,4,4,4
6/21/2020,Summer 9,0,0,0,4,0,0,0,4,4
6/21/2020,Summer 3,0,0,0,4,1,2,0,0,4
6/21/2020,Summer 5,0,0,0,4,1,1,2,4,1
6/21/2020,Summer 12,0,0,0,0,1,2,4,4,4
6/21/2020,Summer 19,0,0,1,4,4,0,4,2,4
6/21/2020,Summer 15,0,0,3,4,4,0,3,4,3
6/21/2020,Summer 18,2,2,4,1,1,0,4,0,0
6/21/2020,Summer 16,0,0,4,4,2,0,2,4,2
6/21/2020,Summer 20,0,0,0,4,4,0,4,0,4
6/21/2020,Spring 129,0,0,4,4,4,2,4,3,3
6/21/2020,Summer 13,0,4,0,4,4,0,1,3,4
6/21/2020,Summer 176,0,2,3,4,3,0,2,0,0
6/21/2020,Summer 2,0,0,1,0,0,0,1,4,0
6/21/2020,Summer 6,0,0,1,4,4,3,2,4,1
6/21/2020,Summer 179,0,3,2,4,1,1,0,4,4
6/21/2020,Summer 17,0,0,2,4,2,0,0,4,0
6/21/2020,Summer 4,0,0,0,4,1,0,1,3,3
6/22/2020,Summer 1,0,0,0,4,4,0,0,0,4
6/22/2020,Summer 2,0,1,0,0,0,0,4,4,0
6/22/2020,Summer 4,0,4,0,2,1,0,4,0,1
6/22/2020,Summer 12,0,0,0,4,2,0,4,4,0
6/22/2020,Summer 19,1,4,4,4,4,0,1,0,4
6/22/2020,Summer 8,0,4,0,4,4,0,4,4,4
6/22/2020,Summer 16,0,4,1,4,2,0,1,0,4
6/22/2020,Summer 17,1,1,2,4,4,0,2,2,2
6/22/2020,Summer 5,0,0,0,4,1,0,0,0,3
6/22/2020,Summer 3,0,0,4,4,2,0,1,3,4
6/22/2020,Summer 18,0,4,2,3,2,0,4,1,2
6/23/2020,Summer 1,1,3,1,4,4,0,2,0,4
6/23/2020,Summer 4,0,4,1,4,1,4,4,0,0
6/23/2020,Summer 9,0,0,2,2,0,4,4,4,4
6/23/2020,Summer 13,0,2,0,4,3,0,1,3,4
6/23/2020,Summer 3,0,0,1,4,2,2,4,2,2
6/23/2020,Summer 5,0,0,0,4,2,0,1,0,0
6/23/2020,Summer 19,0,0,2,4,4,0,4,1,4
6/23/2020,Summer 15,0,0,3,4,3,1,4,2,2
6/23/2020,Summer 17,0,0,0,4,4,0,0,4,4
6/23/2020,Summer 8,0,4,0,4,4,0,4,4,4
6/23/2020,Summer 20,0,4,0,4,4,0,3,0,1
6/23/2020,Summer 16,0,4,1,4,1,0,2,4,4
6/23/2020,Summer 6,0,2,2,4,4,1,4,2,4
6/23/2020,Summer 18,0,0,1,4,1,0,2,1,2
6/24/2020,Summer 5,0,4,0,4,3,0,4,4,1
6/24/2020,Summer 1,1,4,4,4,1,0,1,1,4
6/24/2020,Summer 19,1,4,0,4,4,0,4,2,4
6/24/2020,Summer 4,0,0,0,3,1,4,4,4,2
6/24/2020,Summer 15,0,0,3,4,3,3,3,2,3
6/24/2020,Summer 3,0,0,2,4,1,0,0,2,0
6/24/2020,Summer 8,0,4,0,4,2,0,4,4,4
6/24/2020,Summer 12,1,3,0,3,3,0,4,4,4
6/24/2020,Summer 6,0,0,2,4,4,0,2,0,4
6/24/2020,Summer 179,0,2,0,3,1,3,1,4,3
