"id","idhous00","age00","educat00","civsta00","nbadul00","nbkid00","aoldki00","ayouki00","region00","com2.00","sex","birthy","jan00","feb00","mar00","apr00","may00","jun00","jul00","aug00","sep00","oct00","nov00","dec00"
1,60671,47,"maturity","married",3,2,17,14,"Middleland (BE, FR, SO, NE, JU)","Industrial and tertiary sector communes","woman",1953,"B","B","B","B","B","B","B","B","B","B","B","B"
2,25321,21,"maturity","single, never married",2,0,-3,-3,"Zurich","Suburban communes","woman",1979,"D","D","D","D","A","A","A","A","A","A","A","D"
3,53221,50,"full-time vocational school","married",2,0,-3,-3,"Lake Geneva (VD, VS, GE)","Peripheral urban communes","woman",1950,"B","B","B","B","B","B","B","B","B","B","B","B"
4,13911,37,"maturity","single, never married",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Centres","woman",1963,"C","C","C","C","C","C","C","C","C","B","B","B"
5,145301,20,"apprenticeship","single, never married",3,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Rural commuter communes","man",1980,"A","A","A","A","A","A","A","A","A","A","A","A"
6,40022,27,"university, higher specialized school","single, never married",2,0,-3,-3,"Central Switzerland  (LU, UR, SZ, OW, NW, ZG)","Suburban communes","woman",1973,"D","B","B","B","B","B","B","B","B","B","B","B"
7,61791,72,"compulsory school, elementary vocational training","widower/widow",1,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1928,"D","D","D","D","D","D","D","D","D","D","D","D"
8,3541,34,"university, higher specialized school","married",2,1,1,1,"Lake Geneva (VD, VS, GE)","Suburban communes","man",1966,"A","A","A","A","A","A","A","A","A","A","A","A"
9,106621,39,"apprenticeship","married",2,2,8,6,"North-west Switzerland  (BS, BL, AG)","Industrial and tertiary sector communes","man",1961,"A","A","A","A","A","A","A","A","A","A","A","A"
10,94811,36,"apprenticeship","single, never married",1,0,-3,-3,"Ticino","Peripheral urban communes","man",1964,"A","A","A","A","A","A","A","A","A","A","A","A"
11,101551,54,"vocational high education","married",3,0,-3,-3,"Middleland (BE, FR, SO, NE, JU)","Suburban communes","woman",1946,"B","B","B","B","B","B","B","B","B","B","B","B"
12,106591,26,"apprenticeship","single, never married",2,0,-3,-3,"North-west Switzerland  (BS, BL, AG)","Industrial and tertiary sector communes","woman",1974,"B","B","B","B","B","B","B","B","B","B","B","B"
13,44921,40,"incomplete compulsory school","single, never married",3,0,-3,-3,"Ticino","Industrial and tertiary sector communes","man",1960,"A","A","A","A","A","A","A","A","A","A","A","A"
14,83081,36,"university, higher specialized school","married",2,1,4,4,"East Switzerland  (GL, SH, AR, AI, SG, GR, TG)","Centres","woman",1964,"C","C","C","C","C","C","C","C","C","B","B","B"
