name,region,1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Albania,Europe,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle
Algeria,Africa,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Angola,Africa,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Argentina,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,Upper-Middle,Upper-Middle,Upper-Middle,High,Upper-Middle,High
Australia,Oceania,High,High,High,High,High,High,High,High,High,High,High,High
Austria,Europe,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Bahrain,Asia,High,High,High,High,High,High,High,High,High,High,High,High
Bangladesh,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle
Belgium,Europe,Upper-Middle,High,High,High,High,High,High,High,High,High,High,High
Benin,Africa,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Low,Lower-Middle,Lower-Middle,Lower-Middle
Bolivia,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle
Bosnia and Herzegovina,Europe,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Botswana,Africa,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Brazil,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Bulgaria,Europe,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High
Burkina Faso,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Lower-Middle
Burundi,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
