name,region,1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Afghanistan,Asia,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Albania,Europe,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Algeria,Africa,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Angola,Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
Argentina,Americas,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High
Australia,Oceania,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Austria,Europe,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High
Bahrain,Asia,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High
Bangladesh,Asia,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle
Belgium,Europe,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High
Benin,Africa,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Bolivia,Americas,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle
Bosnia and Herzegovina,Europe,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
Botswana,Africa,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Lower-Middle,Low,Lower-Middle
Brazil,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Bulgaria,Europe,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,Upper-Middle,High,High,High,Upper-Middle,High,High
Burkina Faso,Africa,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Burundi,Africa,Low,Low,Low,Low,Low,Low,Low,Lower-Middle,Low,Low,Low,Lower-Middle
Cambodia,Asia,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Cameroon,Africa,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Canada,Americas,Upper-Middle,Upper-Middle,High,High,High,High,High,High,High,High,High,High
Central African Republic,Africa,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Low,Low,Low
Chad,Africa,Low,Low,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
Chile,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High,High,High,High
China,Asia,Low,Lower-Middle,Low,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Colombia,Americas,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,Upper-Middle,High,High
Comoros,Africa,Low,Low,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Upper-Middle,Upper-Middle
"Congo, Dem. Rep.",Africa,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
"Congo, Rep.",Africa,Low,Low,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle,Lower-Middle
