city_id,city,country_code,country_name,continent,1980-1982,1983-1985,1986-1988,1989-1991,1992-1994,1995-1997,1998-2000,2001-2003,2004-2006,2007-2009,2010-2012,2013-2014
2 Sub-Distrito_BR,2 Sub-Distrito,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents
4H83+3WR_IN,4H83+3WR,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Medium
88-01 Queens Blvd_IN,88-01 Queens Blvd,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low
9GQ4+4M_IN,9GQ4+4M,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Aarhama Pinjura_IN,Aarhama Pinjura,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low
Abaqulusi_ZA,Abaqulusi,ZA,South Africa,Africa,No patents,No patents,No patents,No patents,Very Low,No patents,No patents,Very Low,No patents,No patents,No patents,Low
Abohar_IN,Abohar,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,Very Low,No patents
Abrantes_BR,Abrantes,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High,No patents,Very Low
Abu Road_IN,Abu Road,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium
Acapulco de Juárez_MX,Acapulco de Juárez,MX,Mexico,Latin America,No patents,No patents,Very Low,No patents,No patents,Very Low,No patents,Very Low,No patents,No patents,Low,No patents
Acará_BR,Acará,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Medium,Low,No patents,Very Low
Achalpur_IN,Achalpur,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Very Low
Achampet_IN,Achampet,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low
Acultzingo_MX,Acultzingo,MX,Mexico,Latin America,No patents,No patents,No patents,Very Low,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents
Acuña_MX,Acuña,MX,Mexico,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,No patents,No patents,No patents,No patents
Acıpayam_TR,Acıpayam,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low
Adamantina_BR,Adamantina,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium
Adana_TR,Adana,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,High,Low,Low,Medium
Addanki_IN,Addanki,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Very Low,Low,No patents
Addatigala_IN,Addatigala,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Very Low,High
Adilabad_IN,Adilabad,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Low,No patents,No patents,No patents
Adiyaman_TR,Adiyaman,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Low
Administracao Regional Centro-Leste_BR,Administracao Regional Centro-Leste,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Low,No patents,Medium,Medium
Adolfo_BR,Adolfo,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents,No patents,No patents
Adoni_IN,Adoni,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Very Low
Adrianópolis_BR,Adrianópolis,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low
Adur_IN,Adur,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low
Aeroporto_BR,Aeroporto,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low
Afonso Arinos_BR,Afonso Arinos,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents
Afyonkarahisar Merkez_TR,Afyonkarahisar Merkez,TR,Turkey,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Very Low,Low
Agartala_IN,Agartala,IN,India,Asia,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Medium,Very Low
Agra_IN,Agra,IN,India,Asia,No patents,No patents,No patents,Very Low,No patents,No patents,No patents,Very Low,Medium,High,High,High
Agronômica_BR,Agronômica,BR,Brazil,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents
Agua Prieta_MX,Agua Prieta,MX,Mexico,Latin America,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Medium,Low,No patents
