city_id,city,country_code,country_name,continent,1980-1982,1983-1985,1986-1988,1989-1991,1992-1994,1995-1997,1998-2000,2001-2003,2004-2006,2007-2009,2010-2012,2013-2014
Adelaide Hills_AU,Adelaide Hills,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,No patents
Ashfield_AU,Ashfield,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents,No patents
Banyule_AU,Banyule,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High,Medium,No patents
Barossa_AU,Barossa,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents,No patents,No patents
Bayside_AU,Bayside,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents
Bega Valley_AU,Bega Valley,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Belmont_AU,Belmont,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,No patents,No patents
Blacktown_AU,Blacktown,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,Very High,No patents,No patents,Low,No patents,No patents
Bogan_AU,Bogan,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High,No patents
Boroondara_AU,Boroondara,AU,Australia,Oceania,Low,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents
Botany Bay_AU,Botany Bay,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Low,No patents,No patents
Brimbank_AU,Brimbank,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Brisbane_AU,Brisbane,AU,Australia,Oceania,No patents,Very Low,No patents,No patents,Medium,No patents,No patents,Very Low,Very Low,High,Very High,No patents
Burdekin_AU,Burdekin,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,No patents
Cambridge_AU,Cambridge,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents,No patents
Campbelltown_AU,Campbelltown,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,High,No patents
Canterbury_AU,Canterbury,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,No patents,No patents,Low,No patents
Cardinia_AU,Cardinia,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Casey_AU,Casey,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Medium,No patents
Darebin_AU,Darebin,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents,No patents
Dorset_AU,Dorset,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Very Low,No patents,No patents
Fairfield_AU,Fairfield,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents,No patents
Frankston_AU,Frankston,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,Medium,No patents
Glen Eira_AU,Glen Eira,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High,High,No patents
Gold Coast_AU,Gold Coast,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents
Gosnells_AU,Gosnells,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,No patents,No patents
Greater Dandenong_AU,Greater Dandenong,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very High,No patents,No patents,No patents
Greater Geelong_AU,Greater Geelong,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High,No patents,Low,No patents
Hawkesbury_AU,Hawkesbury,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Hobsons Bay_AU,Hobsons Bay,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very High,No patents,Medium,No patents
Holroyd_AU,Holroyd,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,Very High,No patents,No patents,No patents,No patents,No patents
Hornsby_AU,Hornsby,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,High,Medium,No patents
Hunters Hill_AU,Hunters Hill,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,Very Low,No patents,No patents,No patents
Hurstville_AU,Hurstville,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents,No patents,No patents
Irwin_AU,Irwin,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,No patents,No patents
Kalamunda_AU,Kalamunda,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents,No patents
Kentish_AU,Kentish,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High,No patents,No patents
Kingborough_AU,Kingborough,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Medium,No patents,No patents
Kingston_AU,Kingston,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents,Very High,Very Low,No patents
Knox_AU,Knox,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Very Low,No patents
Kogarah_AU,Kogarah,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Medium,No patents
Ku-ring-gai_AU,Ku-ring-gai,AU,Australia,Oceania,No patents,No patents,No patents,No patents,Very Low,No patents,Very High,Low,Low,Very Low,High,No patents
Lake Macquarie_AU,Lake Macquarie,AU,Australia,Oceania,No patents,No patents,Very Low,No patents,Low,No patents,No patents,No patents,Medium,No patents,No patents,No patents
Lane Cove_AU,Lane Cove,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,No patents,No patents
Leichhardt_AU,Leichhardt,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,High,No patents
Macedon Ranges_AU,Macedon Ranges,AU,Australia,Oceania,No patents,No patents,No patents,No patents,No patents,No patents,No patents,No patents,Low,Very Low,Very High,No patents
