participant_id,cohort,1,2,3,4,5,6,7,8,gender,income_group,race,avg_study_time
Fall 101,Fall,M,M,M,M,M,L,L,M,male,Middle ($60k–$150k),Other,Higher (T3)
Fall 104,Fall,L,L,L,L,L,L,M,L,female,Middle ($60k–$150k),Asian,Higher (T3)
Fall 24,Fall,M,M,M,M,L,L,L,L,female,Higher ($150k+),White,Lower (T1)
Fall 26,Fall,M,H,H,M,M,M,H,H,female,Middle ($60k–$150k),Asian,Middle (T2)
Fall 27,Fall,H,H,M,M,M,M,M,M,male,Middle ($60k–$150k),White,Higher (T3)
Fall 28,Fall,L,L,L,L,L,L,M,M,male,Higher ($150k+),Asian,Higher (T3)
Fall 29,Fall,M,M,M,M,M,M,L,L,male,Middle ($60k–$150k),White,Middle (T2)
Fall 30,Fall,H,M,M,M,M,M,M,M,female,Unknown,White,Lower (T1)
Fall 31,Fall,M,M,M,M,M,L,M,M,female,Middle ($60k–$150k),Asian,Middle (T2)
Fall 32,Fall,L,L,L,L,L,L,L,L,female,Unknown,White,Higher (T3)
Fall 33,Fall,L,M,M,L,M,H,M,L,female,Higher ($150k+),White,Higher (T3)
Fall 34,Fall,H,M,H,H,H,H,M,H,male,Lower (<$60k),White,Middle (T2)
Fall 35,Fall,L,L,L,M,L,M,L,L,female,Unknown,White,Higher (T3)
Fall 36,Fall,L,L,L,L,L,L,L,L,female,Middle ($60k–$150k),White,Lower (T1)
Fall 37,Fall,H,H,H,H,H,H,H,H,female,Higher ($150k+),Asian,Higher (T3)
Fall 39,Fall,L,L,L,L,L,M,M,L,male,Higher ($150k+),White,Lower (T1)
Fall 40,Fall,L,L,L,L,L,L,L,L,male,Middle ($60k–$150k),Asian,Higher (T3)
Fall 41,Fall,M,M,M,M,M,M,M,M,female,Middle ($60k–$150k),Asian,Higher (T3)
Fall 42,Fall,L,L,L,L,L,L,L,M,male,Middle ($60k–$150k),White,Middle (T2)
Fall 43,Fall,M,L,L,M,L,L,L,L,male,Unknown,White,Higher (T3)
Fall 45,Fall,H,H,H,H,H,H,H,H,female,Unknown,Asian,Higher (T3)
Fall 48,Fall,L,L,L,L,L,L,L,L,male,Higher ($150k+),White,Middle (T2)
Fall 49,Fall,M,L,M,M,L,M,M,M,female,Unknown,White,Middle (T2)
Fall 51,Fall,M,H,M,H,H,M,H,M,female,Middle ($60k–$150k),Asian,Middle (T2)
Fall 53,Fall,M,L,L,L,L,L,L,L,female,Unknown,Asian,Lower (T1)
Fall 54,Fall,M,L,L,M,L,M,M,L,female,Higher ($150k+),White,Middle (T2)
Fall 56,Fall,M,M,L,M,H,M,H,H,female,Middle ($60k–$150k),White,Lower (T1)
Fall 57,Fall,M,M,M,H,M,M,M,M,female,Middle ($60k–$150k),White,Middle (T2)
Fall 58,Fall,L,M,M,M,M,M,M,M,male,Higher ($150k+),White,Higher (T3)
Fall 59,Fall,L,L,L,L,L,L,M,L,female,Middle ($60k–$150k),White,Middle (T2)
Fall 60,Fall,M,M,M,M,M,M,M,L,female,Middle ($60k–$150k),Asian,Middle (T2)
Fall 61,Fall,L,L,L,L,L,L,L,L,female,Middle ($60k–$150k),White,Middle (T2)
Fall 62,Fall,M,M,M,M,M,M,M,M,female,Middle ($60k–$150k),White,Middle (T2)
Fall 63,Fall,M,H,M,H,H,H,H,H,female,Lower (<$60k),Asian,Higher (T3)
Fall 64,Fall,M,M,L,L,L,L,L,L,female,Middle ($60k–$150k),Asian,Middle (T2)
